,a_e,a_w,alpha_w,conservation_effectiveness,conservation_unit_cost,delta,delta_extract,e_0,eta_deplet,mu_0,mu_elite_extr,nat_res_regen,eta_w,eta_a,w_T,I_Ta,conservation_effort,R_star,phi_c,scenario,policy,model,max_radicalized,final_radicalized,wage_cost,conservation_cost,final_resource
1997,61.760221867567545,2.307149157559709,-2.305036864765425,0.459990142172246,3.335493412971376,0.8799394290076592,0.06542951250037159,0.017242906690299042,2.9066396065498425,0.0018746903230734194,0.11798522624862845,0.06190093709221459,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1997,baseline,PolicySIR,0.8760864308760175,0.8749445922069727,0.0,0.0,0.8541180949094334
1998,13.448432202129148,0.3946858367130422,1.061377893214229,0.18717892822095317,19.11308094305186,0.3301255340622879,0.01889706219855533,0.016802692973542935,0.3631333522377058,0.004615875264168285,0.9011949153825316,0.13413582759569578,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1998,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.8132167948809301
1999,112.8943882610669,0.9920063489070242,-1.5233279717178263,0.5809228963844698,10.194178714220081,0.5146660641324737,0.06692947643982299,0.027455678801907885,2.9564964693259634,0.00560072070339499,0.5632929062450275,0.1519519708677358,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1999,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.1267694925413756
2000,43.564284521009505,0.5281615127820973,1.0859035944485749,0.16239114707583938,22.164177462391066,0.9179051740852124,0.012779654509524254,0.014408934186954818,1.2238009472432636,0.0005082792462305308,0.9477930917612262,0.06856346669355308,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2000,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.6288616124472675
2001,48.13028850515435,1.5639208297955463,-0.742419289840333,0.7521938979310097,14.042479068021821,0.31636279659739214,0.07004123981192636,0.04959669244593075,1.691525444982928,0.006014302882607998,0.9542345875672339,0.14761326077167244,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2001,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.0982135603734642
2002,58.47566941822427,1.532429448205539,-0.6864296216820045,0.4541222131484697,3.5689595854994063,0.17499758661180653,0.031698883830953456,0.03028081212005445,2.949358010674362,0.006840913870112351,0.20374513172203973,0.17449672610656558,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2002,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.4213721023338366
2003,78.80235487043882,0.08788536412323912,-2.8163235157832256,0.6032471850703389,13.338592842830614,0.4810816768262848,0.02603117809602687,0.04451285676844587,0.24789217167804586,0.008004503757177147,0.16012298562403707,0.19633948598726034,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2003,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.834465812607811
2004,107.52917159810212,0.3658885174404101,-0.09153902229491484,0.5657645596146045,0.5575139655499255,0.984700128725956,0.06524071031646198,0.012406230747408053,1.7807657759048205,0.0072681132456210995,0.5076196078306695,0.13892294840182884,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2004,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.1264084745532275
2005,39.651493126596044,2.3538114550497355,2.4335897834394373,0.3310101759664601,24.542000686432736,0.16712321705535327,0.06268369902585938,0.02035632109662904,0.6616302504564221,0.0034470525672542092,0.5677799276136851,0.08940452599481453,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2005,baseline,PolicySIR,0.7758689479554498,0.022877327042763105,0.0,0.0,1.9729640961739179
2006,88.30802932724298,1.3242295826959523,-1.0370160251356038,0.27399720686362905,10.48999809694704,0.53701220582028,0.07575925561999443,0.047995410309168714,0.5574498576522409,0.00848399417287072,0.507035680747058,0.14350498646709944,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2006,baseline,PolicySIR,0.8990560809873452,0.0015307340115763108,0.0,0.0,0.9633327058091398
2007,38.03065082982445,1.417570899551748,-2.986637252763084,0.2895438148479737,27.861651730313987,0.4163579555404231,0.048120975882052844,0.01766558977930095,1.0104179777167621,0.006361538701238697,0.8028726506877667,0.07142691460340231,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2007,baseline,PolicySIR,0.9441995968056403,0.08238172980011281,0.0,0.0,0.7777751241102042
2008,47.858585774855,1.2270188489180187,0.10336004295063672,0.1402566488076432,11.875675741840414,0.6829147310469892,0.08512350039162597,0.008537731683359822,1.4357436333593054,0.0078067140362732095,0.5920550309195906,0.0827483279797214,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2008,baseline,PolicySIR,0.8969719037429303,0.16460216529236954,0.0,0.0,0.5985343059372907
2009,29.367311137930084,1.0686619351698552,-1.2013767199763965,0.49872052245326615,29.907740883736825,0.9336986201074178,0.008417109084748652,0.049258104953159854,2.541714362556535,0.0025825083639300596,0.6490893174923833,0.1724243572452789,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2009,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.7959595004203872
2010,87.58432875107003,0.6379456929794036,0.560605602101826,0.28166766013858296,24.347781315164784,0.5636118014395086,0.017884299060685338,0.04081187202948588,1.9353738096651947,0.0015542882647878611,0.8540711536635945,0.1884453186086927,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2010,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.7267021902355333
2011,16.18673726207378,0.3384938042577615,0.17884097191224324,0.6575615922373678,3.011582607958194,0.5316938037286139,0.06502328008881841,0.013711397395022501,0.9937855719933288,0.004028719268233204,0.1867392979498034,0.12595784086960385,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2011,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.0621199737235643
2012,29.838514123570125,1.9272233032306507,-0.32401511688359763,0.31968420831556243,25.676225697926657,0.46471931857585813,0.04162654149909387,0.021039741952393082,2.327506763049359,0.0038162188685089394,0.6835483597198218,0.09280812023738433,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2012,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.1355052093102522
2013,135.3544799793696,0.4107743447835933,1.7565976846108082,0.42001341590896335,28.601601953140324,0.8096259597551982,0.052106288923365746,0.03399960326412755,1.764413798422724,0.0025496839333026054,0.5474443889091691,0.11652402523904914,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2013,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.1480373728956699
2014,138.4748814572153,2.518279200619526,-2.2585177459277066,0.7242593810543573,13.890596772826838,0.7235868490511691,0.039030796657066796,0.01398749692879446,1.428179128513469,0.004336753562718514,0.41319448054808183,0.14705922673642693,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2014,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.4531912434284746
2015,35.57661390364191,1.5408339748265938,1.2762220059087417,0.6871678022643035,18.51751197694501,0.9567693472186766,0.02975275809482519,0.028282452762432325,1.6233497082641597,0.004607224733384962,0.8012972775022232,0.14068151758010922,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2015,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.5159441638898778
2016,33.10769009266905,2.994892290213994,0.8153586648026692,0.7942363415522874,25.703172102108,0.9414661484323966,0.061997891522081926,0.010744806974967998,0.7203592162064735,0.0020559337070003812,0.5244833897205686,0.032191171407541144,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2016,baseline,PolicySIR,0.9421028925421008,0.015049563007565981,0.0,0.0,1.7775775889245296
2017,113.40603790413073,0.47390223107318374,-2.8395484061598326,0.6558391033797988,15.453306396212684,0.7134322249586927,0.09907396855647628,0.022638869881247036,0.3503347208526493,0.004708087794740365,0.8721333965207414,0.19321858731953165,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2017,baseline,PolicySIR,0.7228973072047772,0.0057427276415585975,0.0,0.0,0.9742303578819171
2018,70.82572062658765,0.8792914419582079,-1.8831606184371092,0.8869593159214885,16.363334499286122,0.5749703016705228,0.0998154794342885,0.04370660868582554,2.787761760199291,0.007128355089125736,0.30692772429387183,0.045682848889101346,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2018,baseline,PolicySIR,0.9291523385509263,0.44568026457356436,0.0,0.0,0.6266720312801596
2019,99.53070271356454,2.1720291390026745,0.8329364245248074,0.3552518751394522,15.130680899167926,0.1702182497828306,0.030478884177582242,0.04728548646505329,2.454645664074295,0.004525670954803725,0.9864672956904167,0.16886929996788377,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2019,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.4575790844995928
2020,84.77891704577594,0.26887766185238915,0.9395656678274538,0.2638097045454483,14.998384008512724,0.12416636833894064,0.013021657880597805,0.021229076259631458,1.282241345535706,0.005149457884304168,0.6739228690555066,0.12169880488654507,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2020,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.7740785942046073
